sheet_medium	target_system	target_id	target_name	match_type	confidence	evidence
AMS	kg-microbe	medium:921a	AMS medium	EXACT	1.0	Name match: "AMS medium" = "AMS medium (Ammonium mineral salts)"
AMS	kg-microbe	medium:1661	ALKALIPHILUS NAMSARAEVII MEDIUM	WRONG	0.0	Species-specific medium, not AMS; CMM-AI LIKE query false positive
AMS	mediadive	921a	AMS medium	EXACT	1.0	DSMZ source; canonical AMS formulation
AMS	togomedium	M3279	Alkaline Diluted AMS Medium	VARIANT	0.7	Diluted/alkaline variant of AMS
ATCC:1306	mediadive	-	-	UNGROUNDED	0.0	No MediaDive equivalent found; sheet says "PIPES minimal medium with methanol"
ATCC:1306	note	-	Likely NMS variant	NEEDS_REVIEW	0.5	Description matches NMS-type medium; requires experimenter confirmation
DSMZ:88	mediadive	88	SM MEDIUM FOR PARACOCCUS	EXACT	1.0	Direct DSMZ ID match (if ID is correct)
DSMZ:88	note	-	May be DSMZ:576	NEEDS_REVIEW	0.5	DSMZ:88 is SM medium; 576 is Nutrient Agar; verify with experimenter
LB	kg-microbe	medium:381	LB (Luria-Bertani) MEDIUM	EXACT	1.0	Canonical LB medium from DSMZ
LB	kg-microbe	medium:381a	MODIFIED LB	VARIANT	0.9	Modified LB variant
LB	kg-microbe	medium:J1040	LB AGAR WITH MnSO4	VARIANT	0.8	LB with manganese supplement
LB	kg-microbe	medium:J1168	LB AGAR WITH KANAMYCIN AND RIFAMPICIN	VARIANT	0.8	LB with antibiotics
LB	kg-microbe	medium:J1185	LB AGAR WITH 5% NaCl (pH 9.0)	VARIANT	0.7	LB with high salt and alkaline pH
LB	kg-microbe	medium:J1273	0.01% LB SEAWATER MEDIUM	VARIANT	0.6	Dilute LB in seawater
LB	kg-microbe	medium:J511	DESULFOBULBUS MEDIUM	WRONG	0.0	Unrelated sulfate-reducing bacteria medium; CMM-AI LIKE query false positive
LB	kg-microbe	medium:J1200	ELBE METHANOTROPH MEDIUM	WRONG	0.0	Methanotroph medium, not LB; CMM-AI LIKE query false positive
LB	kg-microbe	medium:194	DESULFOBULBUS SP. MEDIUM (FRESHWATER)	WRONG	0.0	Sulfate-reducing bacteria medium; CMM-AI LIKE query false positive
LB	kg-microbe	medium:J316	THERMOCRINIS ALBUS MEDIUM	WRONG	0.0	Thermophile medium; CMM-AI LIKE query false positive
LB	mediadive	381	LB (Luria-Bertani) MEDIUM	EXACT	1.0	Canonical DSMZ LB formulation
LB	togomedium	M1329	LB (Luria-Bertani) Medium (Lennox)	EXACT	1.0	Lennox formulation LB
MP	kg-microbe	medium:C64	NCL:MP	EXACT	0.9	CCAP MP medium; likely same formulation
MP	kg-microbe	medium:J988	MPOB MEDIUM	CLOSE	0.6	Similar abbreviation pattern but different medium type
MP	kg-microbe	medium:J990	MODIFIED MPOB MEDIUM	CLOSE	0.5	MPOB variant, not MP
MP	kg-microbe	medium:J1037	MPYCY AGAR MEDIUM	CLOSE	0.5	Different medium with MP-like abbreviation
MP	kg-microbe	medium:J562	LAMPROBACTER ROSEUS MEDIUM	WRONG	0.0	Contains "MP" substring; CMM-AI LIKE query false positive
MP	kg-microbe	medium:1413	AMPHIBACILLUS MEDIUM	WRONG	0.0	Contains "MP" substring; CMM-AI LIKE query false positive
MP	kg-microbe	medium:J939	MODIFIED HALOSIMPLEX MEDIUM	WRONG	0.0	Halophile medium; CMM-AI LIKE query false positive
MP	kg-microbe	medium:1607	SIMPLICISPIRA MEDIUM (PYG)	WRONG	0.0	Species-specific PYG medium; CMM-AI LIKE query false positive
MP	kg-microbe	medium:J1168	LB AGAR WITH KANAMYCIN AND RIFAMPICIN	WRONG	0.0	LB variant, not MP; CMM-AI LIKE query false positive
